"ID,N,4,0","WIDTH,N,17,15","HEIGHT,N,17,15","AREA,N,17,15","PERIMETER,N,17,15"
154,"0,046161","0,036929","0,001705","0,166181"
155,"0,060181","0,04941","0,002974","0,219181"
156,"0,033681","0,033168","0,001117","0,133697"
157,"0,03351","0,030774","0,001031","0,128568"
158,"0,060865","0,051291","0,003122","0,224311"
159,"0,043084","0,043084","0,001856","0,172336"
160,"0,036587","0,023252","0,000851","0,119678"
161,"0,111471","0,102923","0,011473","0,428789"
162,"0,069071","0,053","0,003661","0,244143"
163,"0,029065","0,03881","0,001128","0,135749"
164,"0,115917","0,090271","0,010464","0,412376"
165,"0,072149","0,087878","0,00634","0,320053"
166,"0,022397","0,022397","0,000502","0,089587"
167,"0,069755","0,090613","0,006321","0,320737"
168,"0,016926","0,025645","0,000434","0,085142"
169,"0,042913","0,036074","0,001548","0,157975"
170,"0,049239","0,086681","0,004268","0,27184"
171,"0,037271","0,076594","0,002855","0,22773"
172,"0,02479","0,032142","0,000797","0,113865"
173,"0,036673","0,020003","0,000734","0,113352"
174,"0,036758","0,065139","0,002394","0,203794"
175,"0,014874","0,020858","0,00031","0,071465"
176,"0,051803","0,04941","0,00256","0,202427"
177,"0,059839","0,067362","0,004031","0,254401"
178,"0,04411","0,051291","0,002262","0,190801"
179,"0,070439","0,059497","0,004191","0,259872"
180,"0,133013","0,155581","0,020694","0,577189"
181,"0,05642","0,082407","0,004649","0,277653"
182,"0,042058","0,058471","0,002459","0,201059"
183,"0,039323","0,038639","0,001519","0,155923"
184,"0,084116","0,095742","0,008054","0,359718"
185,"0,045478","0,042058","0,001913","0,175072"
186,"0,051974","0,079329","0,004123","0,262607"
187,"0,04069","0,024278","0,000988","0,129936"
188,"0,088562","0,066336","0,005875","0,309795"
189,"0,024961","0,023594","0,000589","0,09711"
190,"0,049923","0,043084","0,002151","0,186014"
191,"0,033681","0,043597","0,001468","0,154555"
192,"0,041032","0,048555","0,001992","0,179175"
193,"0,038639","0,032826","0,001268","0,14293"
194,"0,030432","0,038639","0,001176","0,138142"
195,"0,026329","0,025303","0,000666","0,103265"
196,"0,036929","0,032826","0,001212","0,13951"
197,"0,031458","0,034878","0,001097","0,132671"
198,"0,177123","0,127884","0,022651","0,610015"
199,"0,023594","0,025645","0,000605","0,098478"
200,"0,053342","0,043084","0,002298","0,192852"
201,"0,055394","0,022568","0,00125","0,155923"
202,"0,037442","0,0424","0,001588","0,159684"
203,"0,018465","0,025303","0,000467","0,087536"
204,"0,075226","0,030432","0,002289","0,211317"
205,"0,045136","0,053342","0,002408","0,196956"
206,"0,045307","0,046845","0,002122","0,184304"
207,"0,014019","0,025303","0,000355","0,078645"
208,"0,055736","0,047529","0,002649","0,20653"
209,"0,037784","0,04069","0,001537","0,156949"
210,"0,045136","0,045136","0,002037","0,180543"
211,"0,040178","0,028039","0,001127","0,136433"
212,"0,048897","0,043597","0,002132","0,184988"
213,"0,067703","0,073516","0,004977","0,28244"
214,"0,062574","0,054881","0,003434","0,234911"
215,"0,061207","0,062574","0,00383","0,247562"
216,"0,08822","0,075226","0,006636","0,326892"
217,"0,05112","0,044452","0,002272","0,191143"
218,"0,077962","0,0954","0,007438","0,346724"
219,"0,049752","0,045649","0,002271","0,190801"
220,"0,040007","0,033852","0,001354","0,147717"
221,"0,040178","0,030945","0,001243","0,142246"
222,"0,062062","0,053342","0,00331","0,230807"
223,"0,076252","0,057103","0,004354","0,266711"
224,"0,055736","0,054026","0,003011","0,219523"
225,"0,063942","0,061549","0,003936","0,250982"
226,"0,032484","0,033852","0,0011","0,132671"
227,"0,033852","0,036416","0,001233","0,140536"
228,"0,050949","0,043426","0,002212","0,188749"
229,"0,090613","0,110104","0,009977","0,401434"
230,"0,06531","0,0636","0,004154","0,25782"
231,"0,050607","0,073174","0,003703","0,247562"
232,"0,020345","0,023081","0,00047","0,086852"
233,"0,0742","0,046503","0,003451","0,241407"
234,"0,044452","0,036587","0,001626","0,162078"
235,"0,023423","0,021371","0,000501","0,089587"
236,"0,036929","0,035219","0,001301","0,144297"
237,"0,029407","0,0265","0,000779","0,111813"
238,"0,019661","0,021371","0,00042","0,082065"
239,"0,048555","0,055736","0,002706","0,208581"
240,"0,052658","0,034536","0,001819","0,174388"
241,"0,020516","0,02291","0,00047","0,086852"
242,"0,054026","0,038639","0,002088","0,18533"
243,"0,0424","0,041374","0,001754","0,167549"
244,"0,037955","0,048897","0,001856","0,173704"
245,"0,028381","0,032484","0,000922","0,121729"
246,"0,037784","0,055223","0,002087","0,186014"
247,"0,014874","0,0159","0,000237","0,061549"
248,"0,080355","0,073516","0,005907","0,307743"
249,"0,017781","0,01949","0,000347","0,074542"
250,"0,032484","0,027013","0,000877","0,118994"
251,"0,065652","0,135407","0,00889","0,402118"
252,"0,049581","0,046503","0,002306","0,192168"
253,"0,028743","0,046151","0,001327","0,149788"
254,"0,034411","0,037447","0,001289","0,143716"
255,"0,027326","0,03522","0,000962","0,125093"
256,"0,029654","0,019837","0,000588","0,098982"
257,"0,018724","0,027427","0,000514","0,092302"
258,"0,069024","0,071251","0,004918","0,280549"
259,"0,023784","0,027023","0,000643","0,101613"
260,"0,038054","0,051009","0,001941","0,178126"
261,"0,026213","0,023986","0,000629","0,100398"
262,"0,032589","0,022266","0,000726","0,10971"
263,"0,024897","0,044127","0,001099","0,138048"
264,"0,012853","0,015384","0,000198","0,056474"
265,"0,017104","0,020444","0,00035","0,075096"
266,"0,030464","0,018825","0,000573","0,098577"
267,"0,028541","0,0419","0,001196","0,140882"
268,"0,021557","0,023784","0,000513","0,090682"
269,"0,024998","0,029047","0,000726","0,10809"
270,"0,014574","0,017205","0,000251","0,063559"
271,"0,049997","0,047163","0,002358","0,19432"
272,"0,043722","0,040078","0,001752","0,167601"
273,"0,030767","0,034613","0,001065","0,130761"
274,"0,025606","0,025909","0,000663","0,10303"
275,"0,022266","0,023885","0,000532","0,092302"
276,"0,027124","0,032285","0,000876","0,118818"
277,"0,078335","0,063154","0,004947","0,282978"
278,"0,016396","0,021051","0,000345","0,074894"
279,"0,012955","0,016396","0,000212","0,058701"
280,"0,014169","0,016396","0,000232","0,06113"
281,"0,017205","0,018622","0,00032","0,071655"
282,"0,049733","0,052968","0,002634","0,205401"
283,"0,044072","0,049329","0,002174","0,186802"
284,"0,021025","0,024664","0,000519","0,091379"
285,"0,043264","0,049733","0,002152","0,185993"
286,"0,017791","0,022238","0,000396","0,080058"
287,"0,024058","0,024462","0,000589","0,09704"
288,"0,016173","0,023047","0,000373","0,078441"
289,"0,040231","0,047711","0,001919","0,175885"
290,"0,023653","0,03922","0,000928","0,125748"
291,"0,030931","0,038007","0,001176","0,137878"
292,"0,076823","0,06065","0,004659","0,274947"
293,"0,035177","0,038007","0,001337","0,146369"
294,"0,017184","0,013343","0,000229","0,061054"
295,"0,034773","0,05782","0,002011","0,185185"
296,"0,016375","0,018801","0,000308","0,070354"
297,"0,014556","0,016982","0,000247","0,063076"
298,"0,042455","0,029921","0,00127","0,144751"
299,"0,031942","0,03922","0,001253","0,142325"
300,"0,017588","0,02244","0,000395","0,080058"
301,"0,026484","0,028101","0,000744","0,10917"
302,"0,011321","0,008895","0,000101","0,040433"
303,"0,017993","0,026888","0,000484","0,089762"
304,"0,016982","0,012939","0,00022","0,059841"
305,"0,042051","0,035177","0,001479","0,154455"
306,"0,012939","0,01678","0,000217","0,059437"
307,"0,061459","0,07561","0,004647","0,274138"
308,"0,049329","0,029516","0,001456","0,15769"
309,"0,10634","0,078036","0,008298","0,368752"
310,"0,057011","0,06065","0,003458","0,235322"
311,"0,039625","0,038412","0,001522","0,156073"
312,"0,025069","0,027495","0,000689","0,105127"
313,"0,026686","0,042455","0,001133","0,138282"
314,"0,021834","0,026282","0,000574","0,096231"
315,"0,032347","0,038816","0,001256","0,142325"
316,"0,040433","0,040433","0,001635","0,161733"
317,"0,016982","0,022643","0,000385","0,079249"
318,"0,017791","0,018195","0,000324","0,071971"
319,"0,044477","0,050946","0,002266","0,190845"
320,"0,054585","0,054181","0,002957","0,217531"
321,"0,075206","0,071971","0,005413","0,294355"
322,"0,03639","0,033155","0,001207","0,139091"
323,"0,029921","0,029314","0,000877","0,11847"
324,"0,048116","0,028708","0,001381","0,153647"
325,"0,036592","0,035379","0,001295","0,143943"
326,"0,076419","0,076419","0,00584","0,305676"
327,"0,05782","0,079654","0,004606","0,274947"
328,"0,124939","0,083697","0,010457","0,417272"
329,"0,019206","0,020217","0,000388","0,078845"
330,"0,013343","0,016578","0,000221","0,059841"
331,"0,062267","0,052159","0,003248","0,228853"
332,"0,031538","0,046498","0,001466","0,156073"
333,"0,115235","0,135047","0,015562","0,500565"
334,"0,133834","0,106744","0,014286","0,481157"
335,"0,128578","0,10634","0,013673","0,469835"
336,"0,074397","0,062267","0,004633","0,273329"
337,"0,063076","0,084101","0,005305","0,294355"
338,"0,116044","0,074802","0,00868","0,381691"
339,"0,128578","0,107553","0,013829","0,472261"
340,"0,13626","0,107148","0,0146","0,486817"
341,"0,089762","0,086123","0,007731","0,35177"
342,"0,035177","0,038007","0,001337","0,146369"
343,"0,035986","0,028708","0,001033","0,129387"
344,"0,038007","0,049733","0,00189","0,175481"
345,"0,031942","0,03639","0,001162","0,136665"
346,"0,035986","0,052968","0,001906","0,177907"
347,"0,061459","0,075206","0,004622","0,273329"
348,"0,038816","0,037199","0,001444","0,152029"
349,"0,052159","0,053776","0,002805","0,211871"
350,"0,034368","0,038816","0,001334","0,146369"
351,"0,025069","0,020419","0,000512","0,090975"
352,"0,05782","0,081473","0,004711","0,278586"
353,"0,039018","0,038007","0,001483","0,154051"
354,"0,049329","0,061863","0,003052","0,222383"
355,"0,081271","0,080058","0,006506","0,322658"
356,"0,030325","0,025069","0,00076","0,110787"
357,"0,09987","0,080867","0,008076","0,361474"
358,"0,046903","0,041242","0,001934","0,176289"
359,"0,017791","0,015971","0,000284","0,067524"
360,"0,010917","0,013747","0,00015","0,049329"
361,"0,047711","0,045285","0,002161","0,185993"
362,"0,035177","0,041242","0,001451","0,152838"
363,"0,034368","0,046094","0,001584","0,160925"
364,"0,034166","0,027292","0,000932","0,122917"
365,"0,029921","0,025473","0,000762","0,110787"
366,"0,011726","0,013949","0,000164","0,05135"
367,"0,016982","0,017386","0,000295","0,068737"
368,"0,017386","0,017386","0,000302","0,069545"
369,"0,050946","0,070354","0,003584","0,2426"
370,"0,021025","0,021834","0,000459","0,085719"
371,"0,034368","0,025877","0,000889","0,120491"
372,"0,017386","0,023856","0,000415","0,082484"
373,"0,016375","0,019004","0,000311","0,070758"
374,"0,017993","0,014758","0,000266","0,065502"
375,"0,018801","0,017791","0,000334","0,073184"
376,"0,012534","0,011119","0,000139","0,047307"
377,"0,012939","0,014556","0,000188","0,054989"
378,"0,024866","0,017791","0,000442","0,085314"
379,"0,026888","0,029112","0,000783","0,112"
380,"0,018801","0,017588","0,000331","0,07278"
381,"0,013949","0,018397","0,000257","0,064693"
382,"0,01961","0,016375","0,000321","0,071971"
383,"0,012939","0,013747","0,000178","0,053372"
384,"0,010917","0,012534","0,000137","0,046903"
385,"0,01678","0,015162","0,000254","0,063885"
386,"0,032184","0,040281","0,001296","0,14493"
387,"0,014372","0,015282","0,00022","0,059308"
388,"0,036435","0,030362","0,001106","0,133595"
389,"0,043722","0,038459","0,001682","0,164362"
390,"0,023075","0,021254","0,00049","0,088658"
391,"0,027933","0,028743","0,000803","0,113353"
392,"0,028541","0,031172","0,00089","0,119426"
393,"0,015181","0,017509","0,000266","0,06538"
394,"0,014473","0,015485","0,000224","0,059915"
395,"0,015181","0,016295","0,000247","0,062951"
396,"0,017408","0,022671","0,000395","0,080157"
397,"0,013764","0,017813","0,000245","0,063154"
398,"0,033601","0,030767","0,001034","0,128737"
399,"0,015282","0,020748","0,000317","0,07206"
400,"0,015282","0,016092","0,000246","0,062749"
401,"0,01842","0,014675","0,00027","0,06619"
402,"0,018622","0,031172","0,00058","0,099589"
403,"0,023885","0,019533","0,000467","0,086837"
404,"0,016396","0,013967","0,000229","0,060725"
405,"0,016092","0,013866","0,000223","0,059915"
406,"0,021355","0,025606","0,000547","0,093921"
407,"0,011437","0,012752","0,000146","0,048377"
408,"0,01002","0,010222","0,000102","0,040483"
409,"0,012752","0,010728","0,000137","0,046961"
410,"0,016902","0,020748","0,000351","0,075299"
411,"0,01427","0,013562","0,000194","0,055664"
412,"0,011234","0,017205","0,000193","0,056879"
413,"0,017307","0,014473","0,00025","0,063559"
414,"0,05526","0,069226","0,003825","0,248972"
